game time: 5805, player: [0, -189.5], player speed: [0, 2.5]
game time: 5822, player: [0, -186.5], player speed: [0, 3]
game time: 5839, player: [0, -183], player speed: [0, 3.5]
game time: 5856, player: [0, -179], player speed: [0, 4]
game time: 5872, player: [0, -174.5], player speed: [0, 4.5]
game time: 5890, player: [0, -169.5], player speed: [0, 5]
game time: 5906, player: [0, -164], player speed: [0, 5.5]
game time: 5923, player: [0, -158], player speed: [0, 6]
game time: 5939, player: [0, -151.5], player speed: [0, 6.5]
game time: 5957, player: [0, -144.5], player speed: [0, 7]
game time: 5973, player: [0, -137], player speed: [0, 7.5]
game time: 5989, player: [0, -129], player speed: [0, 8]
game time: 6004, player: [0, -120.5], player speed: [0, 8.5]
game time: 6024, player: [0, -111.5], player speed: [0, 9]
game time: 6041, player: [0, -102], player speed: [0, 9.5]
game time: 6055, player: [0, -102], player speed: [0, 0]
game time: 6073, player: [0, -101.5], player speed: [0, 0.5]
game time: 6089, player: [0, -102], player speed: [0, 0]
game time: 6105, player: [0, -111.5], player speed: [0, -9.5]
game time: 6124, player: [0, -120.5], player speed: [0, -9]
game time: 6138, player: [0, -129], player speed: [0, -8.5]
game time: 6155, player: [0, -137], player speed: [0, -8]
game time: 6171, player: [0, -144.5], player speed: [0, -7.5]
game time: 6189, player: [0, -151.5], player speed: [0, -7]
game time: 6206, player: [0, -158], player speed: [0, -6.5]
game time: 6223, player: [0, -164], player speed: [0, -6]
game time: 6239, player: [0, -169.5], player speed: [0, -5.5]
game time: 6254, player: [0, -174.5], player speed: [0, -5]
game time: 6270, player: [0, -179], player speed: [0, -4.5]
game time: 6287, player: [0, -183], player speed: [0, -4]
game time: 6304, player: [0, -186.5], player speed: [0, -3.5]
game time: 6321, player: [0, -189.5], player speed: [0, -3]
game time: 6336, player: [0, -192], player speed: [0, -2.5]
game time: 6353, player: [0, -194], player speed: [0, -2]
game time: 6371, player: [0, -195.5], player speed: [0, -1.5]
game time: 6386, player: [0, -196.5], player speed: [0, -1]
game time: 6403, player: [0, -197], player speed: [0, -0.5]
game time: 6418, player: [0, -197], player speed: [0, 0]
game time: 6437, player: [0, -196.5], player speed: [0, 0.5]
game time: 6452, player: [0, -195.5], player speed: [0, 1]
game time: 6469, player: [0, -194], player speed: [0, 1.5]
game time: 6485, player: [0, -192], player speed: [0, 2]
game time: 6501, player: [0, -189.5], player speed: [0, 2.5]
game time: 6518, player: [0, -186.5], player speed: [0, 3]
game time: 6535, player: [0, -183], player speed: [0, 3.5]
game time: 6552, player: [0, -179], player speed: [0, 4]
game time: 6567, player: [0, -174.5], player speed: [0, 4.5]
game time: 6584, player: [0, -169.5], player speed: [0, 5]
game time: 6600, player: [0, -164], player speed: [0, 5.5]
game time: 6616, player: [0, -158], player speed: [0, 6]
game time: 6634, player: [0, -151.5], player speed: [0, 6.5]
game time: 6650, player: [0, -144.5], player speed: [0, 7]
game time: 6667, player: [0, -137], player speed: [0, 7.5]
game time: 6684, player: [0, -129], player speed: [0, 8]
game time: 6699, player: [0, -120.5], player speed: [0, 8.5]
game time: 6716, player: [0, -111.5], player speed: [0, 9]
game time: 6732, player: [0, -102], player speed: [0, 9.5]
game time: 6749, player: [0, -102], player speed: [0, 0]
game time: 6765, player: [0, -111.5], player speed: [0, -9.5]
game time: 6783, player: [0, -120.5], player speed: [0, -9]
game time: 6799, player: [0, -129], player speed: [0, -8.5]
game time: 6815, player: [0, -137], player speed: [0, -8]
game time: 6832, player: [0, -144.5], player speed: [0, -7.5]
game time: 6847, player: [0, -151.5], player speed: [0, -7]
game time: 6864, player: [0, -158], player speed: [0, -6.5]
game time: 6881, player: [0, -164], player speed: [0, -6]
game time: 6898, player: [0, -169.5], player speed: [0, -5.5]
game time: 6915, player: [0, -174.5], player speed: [0, -5]
game time: 6929, player: [0, -179], player speed: [0, -4.5]
game time: 6946, player: [0, -183], player speed: [0, -4]
game time: 6963, player: [0, -186.5], player speed: [0, -3.5]
game time: 6979, player: [0, -189.5], player speed: [0, -3]
game time: 6996, player: [0, -192], player speed: [0, -2.5]
game time: 7012, player: [0, -194], player speed: [0, -2]
game time: 7027, player: [0, -195.5], player speed: [0, -1.5]
game time: 7044, player: [0, -196.5], player speed: [0, -1]
game time: 7063, player: [0, -197], player speed: [0, -0.5]
game time: 7076, player: [0, -197], player speed: [0, 0]
game time: 7092, player: [0, -196.5], player speed: [0, 0.5]
game time: 7108, player: [0, -195.5], player speed: [0, 1]
game time: 7126, player: [0, -194], player speed: [0, 1.5]
game time: 7142, player: [0, -192], player speed: [0, 2]
game time: 7158, player: [0, -189.5], player speed: [0, 2.5]
game time: 7175, player: [0, -186.5], player speed: [0, 3]
game time: 7192, player: [0, -183], player speed: [0, 3.5]
game time: 7208, player: [0, -179], player speed: [0, 4]
game time: 7226, player: [0, -174.5], player speed: [0, 4.5]
game time: 7242, player: [0, -169.5], player speed: [0, 5]
game time: 7260, player: [0, -164], player speed: [0, 5.5]
game time: 7275, player: [0, -158], player speed: [0, 6]
game time: 7291, player: [0, -151.5], player speed: [0, 6.5]
game time: 7308, player: [0, -144.5], player speed: [0, 7]
game time: 7325, player: [0, -137], player speed: [0, 7.5]
game time: 7340, player: [0, -129], player speed: [0, 8]
game time: 7357, player: [0, -120.5], player speed: [0, 8.5]
game time: 7373, player: [0, -111.5], player speed: [0, 9]
game time: 7390, player: [0, -102], player speed: [0, 9.5]
game time: 7407, player: [0, -102], player speed: [0, 0]
game time: 7423, player: [0, -111.5], player speed: [0, -9.5]
game time: 7439, player: [0, -120.5], player speed: [0, -9]
game time: 7456, player: [0, -129], player speed: [0, -8.5]
game time: 7472, player: [0, -137], player speed: [0, -8]
game time: 7489, player: [0, -144.5], player speed: [0, -7.5]
game time: 7504, player: [0, -151.5], player speed: [0, -7]
game time: 7521, player: [0, -158], player speed: [0, -6.5]
game time: 7539, player: [0, -164], player speed: [0, -6]
game time: 7556, player: [0, -169.5], player speed: [0, -5.5]
game time: 7574, player: [0, -174.5], player speed: [0, -5]
game time: 7588, player: [0, -179], player speed: [0, -4.5]
game time: 7605, player: [0, -183], player speed: [0, -4]
game time: 7622, player: [0, -186.5], player speed: [0, -3.5]
game time: 7638, player: [0, -189.5], player speed: [0, -3]
game time: 7656, player: [0, -192], player speed: [0, -2.5]
game time: 7674, player: [0, -194], player speed: [0, -2]
game time: 7690, player: [0, -195.5], player speed: [0, -1.5]
game time: 7705, player: [0, -196.5], player speed: [0, -1]
game time: 7722, player: [0, -197], player speed: [0, -0.5]
game time: 7739, player: [0, -197], player speed: [0, 0]
game time: 7755, player: [0, -196.5], player speed: [0, 0.5]
game time: 7773, player: [0, -195.5], player speed: [0, 1]
game time: 7790, player: [0, -194], player speed: [0, 1.5]
game time: 7806, player: [0, -192], player speed: [0, 2]
game time: 7824, player: [0, -189.5], player speed: [0, 2.5]
game time: 7840, player: [0, -186.5], player speed: [0, 3]
game time: 7856, player: [0, -183], player speed: [0, 3.5]
game time: 7872, player: [0, -179], player speed: [0, 4]
game time: 7890, player: [0, -174.5], player speed: [0, 4.5]
game time: 7907, player: [0, -169.5], player speed: [0, 5]
game time: 7924, player: [0, -164], player speed: [0, 5.5]
game time: 7940, player: [0, -158], player speed: [0, 6]
game time: 7957, player: [0, -151.5], player speed: [0, 6.5]
game time: 7972, player: [0, -144.5], player speed: [0, 7]
game time: 7990, player: [0, -137], player speed: [0, 7.5]
game time: 8007, player: [0, -129], player speed: [0, 8]
game time: 8023, player: [0, -120.5], player speed: [0, 8.5]
game time: 8039, player: [0, -111.5], player speed: [0, 9]
game time: 8055, player: [0, -102], player speed: [0, 9.5]
game time: 8072, player: [0, -102], player speed: [0, 0]
game time: 8089, player: [0, -111.5], player speed: [0, -9.5]
game time: 8105, player: [0, -120.5], player speed: [0, -9]
game time: 8122, player: [0, -129], player speed: [0, -8.5]
game time: 8140, player: [0, -137], player speed: [0, -8]
game time: 8156, player: [0, -144.5], player speed: [0, -7.5]
game time: 8173, player: [0, -151.5], player speed: [0, -7]
game time: 8187, player: [0, -158], player speed: [0, -6.5]
game time: 8204, player: [0, -164], player speed: [0, -6]
game time: 8219, player: [0, -169.5], player speed: [0, -5.5]
game time: 8236, player: [0, -174.5], player speed: [0, -5]
game time: 8252, player: [0, -179], player speed: [0, -4.5]
game time: 8269, player: [0, -183], player speed: [0, -4]
game time: 8285, player: [0, -186.5], player speed: [0, -3.5]
game time: 8302, player: [0, -189.5], player speed: [0, -3]
game time: 8320, player: [0, -192], player speed: [0, -2.5]
game time: 8336, player: [0, -194], player speed: [0, -2]
game time: 8353, player: [0, -195.5], player speed: [0, -1.5]
game time: 8369, player: [0, -196.5], player speed: [0, -1]
game time: 8387, player: [0, -197], player speed: [0, -0.5]
game time: 8404, player: [0, -197], player speed: [0, 0]
game time: 8421, player: [0, -196.5], player speed: [0, 0.5]
game time: 8438, player: [0, -195.5], player speed: [0, 1]
game time: 8454, player: [0, -194], player speed: [0, 1.5]
game time: 8471, player: [0, -192], player speed: [0, 2]
game time: 8486, player: [0, -189.5], player speed: [0, 2.5]
game time: 8504, player: [0, -186.5], player speed: [0, 3]
game time: 8520, player: [0, -183], player speed: [0, 3.5]
game time: 8536, player: [0, -179], player speed: [0, 4]
game time: 8553, player: [0, -174.5], player speed: [0, 4.5]
game time: 8569, player: [0, -169.5], player speed: [0, 5]
game time: 8586, player: [0, -164], player speed: [0, 5.5]
game time: 8604, player: [0, -158], player speed: [0, 6]
game time: 8619, player: [0, -151.5], player speed: [0, 6.5]
